Id,SalePrice
1461,137559.0
1462,154129.0
1463,165147.0
1464,181488.0
1465,202738.0
1466,190176.0
1467,168625.0
1468,177530.0
1469,190382.0
1470,114270.0
1471,191524.0
1472,97959.0
1473,107099.0
1474,149854.0
1475,144719.0
1476,407631.0
1477,264320.0
1478,332783.0
1479,321265.0
1480,441238.0
1481,316280.0
1482,210873.0
1483,178415.0
1484,183029.0
1485,192611.0
1486,209204.0
1487,329504.0
1488,233326.0
1489,214530.0
1490,196350.0
1491,212187.0
1492,107304.0
1493,191269.0
1494,315046.0
1495,293741.0
1496,205027.0
1497,198054.0
1498,159875.0
1499,158863.0
1500,167264.0
1501,173181.0
1502,170497.0
1503,312056.0
1504,232185.0
1505,211721.0
1506,179143.0
1507,226248.0
1508,184011.0
1509,159515.0
1510,149862.0
1511,146378.0
1512,158730.0
1513,156802.0
1514,133910.0
1515,173716.0
1516,156614.0
1517,163002.0
1518,132397.0
1519,214397.0
1520,136735.0
1521,142212.0
1522,160558.0
1523,112226.0
1524,129545.0
1525,128944.0
1526,123081.0
1527,116757.0
1528,125960.0
1529,140819.0
1530,169020.0
1531,134480.0
1532,101478.0
1533,132603.0
1534,114319.0
1535,141983.0
1536,125386.0
1537,104743.0
1538,181345.0
1539,261525.0
1540,122786.0
1541,145527.0
1542,130627.0
1543,197415.0
1544,85219.0
1545,103995.0
1546,133540.0
1547,126787.0
1548,127341.0
1549,124247.0
1550,132974.0
1551,114338.0
1552,137290.0
1553,147571.0
1554,123954.0
1555,164022.0
1556,96987.0
1557,109636.0
1558,103967.0
1559,103667.0
1560,142018.0
1561,127497.0
1562,128499.0
1563,120966.0
1564,147587.0
1565,153128.0
1566,261892.0
1567,87173.0
1568,212082.0
1569,146820.0
1570,166312.0
1571,123332.0
1572,146008.0
1573,230960.0
1574,138365.0
1575,243690.0
1576,216590.0
1577,204532.0
1578,157801.0
1579,141496.0
1580,192686.0
1581,145397.0
1582,125650.0
1583,316967.0
1584,240802.0
1585,139145.0
1586,77852.0
1587,117487.0
1588,152972.0
1589,97329.0
1590,135823.0
1591,98317.0
1592,136684.0
1593,127379.0
1594,118850.0
1595,128080.0
1596,224223.0
1597,164558.0
1598,208955.0
1599,220779.0
1600,199643.0
1601,72281.0
1602,135553.0
1603,107200.0
1604,269243.0
1605,261633.0
1606,170674.0
1607,180212.0
1608,228288.0
1609,201377.0
1610,158239.0
1611,156440.0
1612,161880.0
1613,166653.0
1614,124793.0
1615,89542.0
1616,84730.0
1617,88229.0
1618,126223.0
1619,139669.0
1620,160751.0
1621,141968.0
1622,143094.0
1623,267841.0
1624,199613.0
1625,137167.0
1626,173226.0
1627,180094.0
1628,267321.0
1629,178200.0
1630,312541.0
1631,223147.0
1632,248180.0
1633,177468.0
1634,176907.0
